wall_iso,t_ms,dt_ms,x1,y1,v1,x2,y2,v2,x3,y3,v3
2000-01-01T00:00:00.000+00:00,0,,-1657,1514,0,0,0,0,0,0,0
2000-01-01T00:00:00.200+00:00,200,200,-1538,1413,0,0,0,0,0,0,0
2000-01-01T00:00:00.400+00:00,400,200,-1440,1337,0,0,0,0,0,0,0
2000-01-01T00:00:00.600+00:00,600,200,-1265,1276,0,0,0,0,0,0,0
2000-01-01T00:00:00.800+00:00,800,200,-1150,1193,0,0,0,0,0,0,0
2000-01-01T00:00:01.000+00:00,1000,200,-1050,1112,0,0,0,0,0,0,0
2000-01-01T00:00:01.200+00:00,1200,200,-990,1053,0,0,0,0,0,0,0
2000-01-01T00:00:01.600+00:00,1600,400,-693,885,0,0,0,0,0,0,0
2000-01-01T00:00:01.800+00:00,1800,200,-637,744,0,0,0,0,0,0,0
2000-01-01T00:00:02.000+00:00,2000,200,-496,701,0,0,0,0,0,0,0
2000-01-01T00:00:02.200+00:00,2200,200,-345,634,0,0,0,0,0,0,0
2000-01-01T00:00:02.400+00:00,2400,200,-221,539,0,0,0,0,0,0,0
2000-01-01T00:00:02.600+00:00,2600,200,-109,490,0,0,0,0,0,0,0
2000-01-01T00:00:02.800+00:00,2800,200,-19,448,0,0,0,0,0,0,0
2000-01-01T00:00:04.500+00:00,4500,1700,16,434,0,0,0,0,0,0,0
2000-01-01T00:00:04.700+00:00,4700,200,100,458,0,0,0,0,0,0,0
2000-01-01T00:00:04.900+00:00,4900,200,226,554,0,0,0,0,0,0,0
2000-01-01T00:00:05.100+00:00,5100,200,371,643,0,0,0,0,0,0,0
2000-01-01T00:00:05.300+00:00,5300,200,459,687,0,0,0,0,0,0,0
2000-01-01T00:00:05.500+00:00,5500,200,575,827,0,0,0,0,0,0,0
2000-01-01T00:00:05.700+00:00,5700,200,685,878,0,0,0,0,0,0,0
2000-01-01T00:00:05.900+00:00,5900,200,837,908,0,0,0,0,0,0,0
2000-01-01T00:00:06.100+00:00,6100,200,944,1065,0,0,0,0,0,0,0
2000-01-01T00:00:06.300+00:00,6300,200,1004,1098,0,0,0,0,0,0,0
2000-01-01T00:00:06.500+00:00,6500,200,1176,1163,0,0,0,0,0,0,0
2000-01-01T00:00:06.700+00:00,6700,200,1310,1263,0,0,0,0,0,0,0
2000-01-01T00:00:06.900+00:00,6900,200,1373,1366,0,0,0,0,0,0,0
2000-01-01T00:00:07.100+00:00,7100,200,1551,1448,0,0,0,0,0,0,0
2000-01-01T00:00:07.300+00:00,7300,200,1690,1510,0,0,0,0,0,0,0
2000-01-01T00:00:09.000+00:00,9000,1700,1665,1065,0,-1647,1464,0,0,0,0
2000-01-01T00:00:09.200+00:00,9200,200,-1397,1483,0,1370,1086,0,0,0,0
2000-01-01T00:00:09.400+00:00,9400,200,1205,1065,0,-1191,1465,0,0,0,0
2000-01-01T00:00:09.600+00:00,9600,200,-970,1485,0,888,1032,0,0,0,0
2000-01-01T00:00:09.800+00:00,9800,200,731,999,0,-671,1443,0,0,0,0
2000-01-01T00:00:10.000+00:00,10000,200,466,1079,0,0,0,0,0,0,0
2000-01-01T00:00:10.200+00:00,10200,200,199,1095,0,0,0,0,0,0,0
2000-01-01T00:00:10.400+00:00,10400,200,-41,1507,0,15,1046,0,0,0,0
2000-01-01T00:00:10.600+00:00,10600,200,276,1516,0,0,0,0,0,0,0
2000-01-01T00:00:10.800+00:00,10800,200,418,1429,0,0,0,0,0,0,0
2000-01-01T00:00:11.000+00:00,11000,200,-698,1068,0,717,1479,0,0,0,0
2000-01-01T00:00:11.200+00:00,11200,200,912,1527,0,-939,1082,0,0,0,0
2000-01-01T00:00:11.400+00:00,11400,200,-1197,1038,0,1209,1504,0,0,0,0
2000-01-01T00:00:11.600+00:00,11600,200,1421,1512,0,-1385,1051,0,0,0,0
2000-01-01T00:00:11.800+00:00,11800,200,-1675,1077,0,1695,1517,0,0,0,0
